AIC_SI,AIC_SI2N,AIC_IM,AIC_IM2N,AIC_IM2m,wAIC_SI,wAIC_SI2N,wAIC_IM,wAIC_IM2N,wAIC_IM2m,best_model
589.2977488438212,552.9441702490096,553.7867343026052,560.7844550620507,575.0013145136064,7.614322583136687e-09,0.5966375222658643,0.3915165300194693,0.011836255927277457,9.68417306641358e-06,SI2N
689.6546978844137,625.4443031030394,639.8174360530637,648.5066254715034,658.0018933319808,1.1390876303284374e-14,0.9992340000011004,0.0007561031354481604,9.811773873381646e-06,8.508956681535217e-08,SI2N
683.0148018287642,687.0149638257235,632.2210420356843,638.0849541988667,650.5054536438129,8.865066456816767e-12,1.1996591053456418e-12,0.9493072381958667,0.05059113756614325,0.00010162422792532239,IM
716.1891522306837,663.8264576980887,661.1551152109714,664.5303172939191,660.5684028940937,4.018678607998277e-13,0.0942970098731828,0.3585688615544575,0.06632186837561944,0.48081226019633827,IM2m
736.9483612843425,740.9260729049231,672.2028480962803,676.9864858153747,675.0736677091534,6.5615783618075445e-15,8.979646000463778e-16,0.7521732296903465,0.06879615085539133,0.17903061945425458,IM
674.9573260793669,621.8853674049301,619.2168100432597,621.4627282494223,623.8104769268364,4.660250043195858e-13,0.15589730844877772,0.5919819781754196,0.19258104710959328,0.05953966626574346,IM
633.8421556717198,577.3042197297316,588.8355929635104,593.5847914047254,606.6963139459318,5.26572521588237e-13,0.996586480329974,0.0031225478996877434,0.00029055862450206053,4.1314530940186027e-07,SI2N
712.0986572933459,632.1826330650254,655.0351798979309,663.3846148458297,647.9136382415141,4.428782910933861e-18,0.9996053265430107,1.0900867684511061e-05,1.6765028873897482e-07,0.0003836049390158784,SI2N
690.189949218722,694.1908504013211,638.5241058220229,641.5005095728718,646.8563275267627,4.864420822955289e-12,6.580311999123051e-13,0.8056130337447044,0.1818899156077237,0.012497050642049362,IM
617.2465391235,598.2254631755974,569.0312652292905,571.8136362556919,582.9421092769917,2.7124933351233587e-11,3.6622066066728066e-07,0.8001702079046611,0.1990665023811865,0.0007629234663668638,IM
788.9459367154429,792.9456767877373,709.1433063855277,716.2738975556022,728.5644759749567,4.559721977157524e-18,6.171714700289482e-19,0.9724322641360903,0.027508769280175895,5.896658373381626e-05,IM
794.9487828926526,798.9168547459195,730.1093904499135,734.8416599828921,720.4298849519066,6.526583497133119e-17,8.974908790280968e-18,0.007841173660654625,0.0007358373020280551,0.9914229890373172,IM2m
708.9219547219714,712.9219559545174,649.1741731764359,661.8859499370317,656.9409342795406,1.0383606861652738e-13,1.405267509610659e-14,0.9781695793946882,0.0016985835005698092,0.020131837104624066,IM
644.1409377304938,597.814467978884,600.6455373077131,606.4820334102103,614.4111084068346,6.938875177694457e-11,0.7960753284461077,0.19328371795672408,0.010442782808040452,0.00019817071973906103,SI2N
693.1409233098798,634.4453475371499,638.3425010588728,642.7988935558172,638.2171687097702,1.371851212992471e-13,0.7636411917224848,0.10880108139289013,0.011720330989477964,0.11583739589500983,SI2N
691.5389314936233,626.4876346916199,640.6455620616263,646.3671514950652,639.2227047030665,7.467230174159146e-15,0.9973995302843455,0.0008404546674279512,4.809356091460621e-05,0.001711921487304323,SI2N
715.5050155014578,719.0923703977943,648.2598467383974,655.0406580004042,645.9140030687506,5.860927309943988e-16,9.749494913391816e-17,0.23446023681675435,0.007900139177253376,0.7576396240059916,IM2m
729.9074816655003,632.842892869395,673.1771030818774,676.5886095559001,683.3746874389974,8.369361905932788e-22,0.9999999979286249,1.7439640794583874e-09,3.167658225021862e-10,1.064535694039766e-11,SI2N
