,TDIV$,NANC$,V1$,V2$,MaxEstLhood,MaxObsLhood,time,genome,model,dfe,percent,replicate
0,1040538,104612,1.4497633,1.430421,-30036.817,-29985.504,20000,scaled,nomig,linkedp1,10percent,37
0,1093885,41646,3.5662415,3.7230068,-30068.544,-30012.735,20000,scaled,nomig,linkedp1,10percent,38
0,978957,151610,1.0426341,0.982663,-30160.812,-30115.153,20000,scaled,nomig,linkedp1,10percent,39
0,1046557,89682,1.6586154,1.7030854,-30101.456,-30043.182,20000,scaled,nomig,linkedp1,10percent,40
0,1078719,45498,3.4220243,3.2912751,-30107.104,-30042.352,20000,scaled,nomig,linkedp1,10percent,41
0,1078725,62382,2.427217,2.3727744,-30052.744,-30003.496,20000,scaled,nomig,linkedp1,10percent,42
0,1065083,84395,1.7745735,1.8163807,-30009.008,-29947.593,20000,scaled,nomig,linkedp1,10percent,43
0,1080345,63989,2.4153537,2.2920894,-30049.94,-29997.338,20000,scaled,nomig,linkedp1,10percent,44
0,1064767,68772,2.1899308,2.2261028,-30071.085,-30014.607,20000,scaled,nomig,linkedp1,10percent,45
0,1058262,68783,2.2543893,2.1332773,-29985.958,-29915.204,20000,scaled,nomig,linkedp1,10percent,46
0,1078289,58899,2.6248374,2.4707766,-29997.677,-29937.785,20000,scaled,nomig,linkedp1,10percent,47
